2226606  December 20, 2005 19:32:35
3246597  January 16, 2006 16:27:16
3259810  January 16, 2006 23:28:02
3261435  January 17, 2006 00:07:14
3261440  January 17, 2006 00:07:20
3270633  January 17, 2006 11:19:17
3277331  January 17, 2006 15:20:32
3280619  January 17, 2006 16:46:49
3290473  January 17, 2006 20:48:56
3290476  January 17, 2006 20:49:05
3296530  January 17, 2006 23:49:05
3296537  January 17, 2006 23:49:12
3309719  January 18, 2006 12:39:37
3330427  January 18, 2006 22:16:15
3349249  January 19, 2006 12:54:28
3349252  January 19, 2006 12:54:42
3377260  January 19, 2006 23:14:13
3387174  January 20, 2006 09:31:01
3390842  January 20, 2006 11:43:13
3455969  January 21, 2006 18:05:24
3584870  January 24, 2006 12:09:18
3597736  January 24, 2006 18:13:02
3620878  January 25, 2006 09:44:21
3632487  January 25, 2006 15:33:51
3645932  January 25, 2006 20:51:37
3645933  January 25, 2006 20:51:45
3645935  January 25, 2006 20:52:00
3645936  January 25, 2006 20:52:10
3648043  January 25, 2006 21:34:41
3688202  January 26, 2006 17:59:32
3703731  January 26, 2006 20:57:00
3703764  January 26, 2006 20:57:27
3703820  January 26, 2006 20:58:51
3844253  January 28, 2006 19:57:54
3957139  January 30, 2006 20:17:59
3957142  January 30, 2006 20:18:08
4002438  January 31, 2006 20:41:57
4078117  February 2, 2006 18:33:41
4133357  February 3, 2006 21:18:21
4133400  February 3, 2006 21:19:28
4135263  February 3, 2006 22:54:37
4217110  February 5, 2006 19:31:50
4217116  February 5, 2006 19:31:57
4217129  February 5, 2006 19:32:11
4217143  February 5, 2006 19:32:22
4237985  February 6, 2006 10:15:56
4303304  February 7, 2006 12:55:28
4333675  February 7, 2006 21:08:50
4333678  February 7, 2006 21:08:57
4358438  February 8, 2006 11:39:29
4370372  February 8, 2006 16:24:31
4401012  February 9, 2006 10:57:15
4581228  February 12, 2006 23:55:36
4581230  February 12, 2006 23:55:47
4614009  February 13, 2006 20:14:19
4614019  February 13, 2006 20:14:27
4614098  February 13, 2006 20:16:02
4628686  February 14, 2006 09:09:08
4660486  February 15, 2006 09:06:59
4679686  February 15, 2006 20:56:26
4889591  February 20, 2006 20:38:00
4958178  February 22, 2006 16:22:38
4958217  February 22, 2006 16:23:44
4969917  February 22, 2006 21:28:11
4983587  February 23, 2006 09:45:47
4983590  February 23, 2006 09:46:03
5009579  February 23, 2006 20:42:41
5127830  February 27, 2006 09:16:43
5202735  March 1, 2006 09:08:34
5202736  March 1, 2006 09:08:50
5249037  March 2, 2006 15:51:49
5249056  March 2, 2006 15:51:58
5259088  March 2, 2006 19:54:59
5432768  March 6, 2006 17:54:48
5432773  March 6, 2006 17:56:07
5432778  March 6, 2006 17:56:47
5479603  March 7, 2006 14:28:04
5479613  March 7, 2006 14:28:12
5524658  March 7, 2006 21:21:51
5561026  March 8, 2006 12:27:53
5561033  March 8, 2006 12:28:00
5600545  March 8, 2006 21:58:12
5600550  March 8, 2006 21:58:20
5629240  March 9, 2006 11:34:12
5629247  March 9, 2006 11:34:18
5629257  March 9, 2006 11:34:25
5684226  March 10, 2006 11:51:35
5684232  March 10, 2006 11:51:48
5712900  March 10, 2006 21:41:31
5712922  March 10, 2006 21:41:50
5783133  March 12, 2006 00:35:45
5783508  March 12, 2006 00:44:23
5842174  March 12, 2006 23:23:52
5993514  March 15, 2006 21:52:44
6130121  March 18, 2006 18:33:05
6242267  March 20, 2006 22:41:41
6277637  March 21, 2006 13:56:08
6277652  March 21, 2006 13:56:16
6334774  March 21, 2006 22:45:01
6379305  March 22, 2006 15:49:40
6492085  March 23, 2006 21:05:50
6492102  March 23, 2006 21:06:00
6492131  March 23, 2006 21:06:16
6511781  March 23, 2006 23:36:28
6602671  March 24, 2006 20:25:12
6602684  March 24, 2006 20:25:19
6717069  March 25, 2006 19:49:50
7038505  March 29, 2006 19:19:01
7171547  March 31, 2006 23:29:01
7201322  April 1, 2006 14:48:40
7201342  April 1, 2006 14:48:47
7294902  April 2, 2006 20:47:44
7294906  April 2, 2006 20:47:53
7294916  April 2, 2006 20:48:05
7348245  April 3, 2006 20:22:03
7348267  April 3, 2006 20:22:18
7425602  April 5, 2006 08:02:43
7718515  April 9, 2006 22:50:57
7925368  April 13, 2006 20:15:03
7925374  April 13, 2006 20:15:09
7925385  April 13, 2006 20:15:21
7982683  April 14, 2006 21:32:23
7982686  April 14, 2006 21:32:30
8063680  April 16, 2006 18:11:31
8063684  April 16, 2006 18:11:40
8174329  April 18, 2006 14:32:16
8602921  April 27, 2006 21:38:59
8602924  April 27, 2006 21:39:08
8602930  April 27, 2006 21:39:13
8602935  April 27, 2006 21:39:28
8602943  April 27, 2006 21:39:47
8715530  April 30, 2006 20:12:25
8715531  April 30, 2006 20:12:32
8728593  May 1, 2006 00:58:44
8728598  May 1, 2006 00:58:53
8765831  May 1, 2006 21:03:20
8765835  May 1, 2006 21:03:27
8769520  May 1, 2006 22:11:58
8824315  May 3, 2006 11:41:37
8838582  May 3, 2006 21:22:34
8838583  May 3, 2006 21:23:43
8889382  May 5, 2006 17:14:33
8889385  May 5, 2006 17:14:43
8985341  May 8, 2006 14:50:39
8985343  May 8, 2006 14:50:47
8985600  May 8, 2006 14:58:46
8980326  May 9, 2006 12:35:22
8980336  May 9, 2006 12:35:40
9000574  May 9, 2006 22:16:20
9000586  May 9, 2006 22:16:32
9012194  May 10, 2006 09:07:44
9012195  May 10, 2006 09:07:59
9031223  May 10, 2006 19:13:14
9031883  May 10, 2006 19:28:20
9037488  May 10, 2006 22:03:12
9068077  May 11, 2006 22:34:49
9131848  May 13, 2006 21:16:18
9131851  May 13, 2006 21:16:23
9228571  May 16, 2006 14:23:42
9228573  May 16, 2006 14:23:48
9278428  May 17, 2006 19:40:57
9326311  May 19, 2006 13:07:52
9340671  May 19, 2006 20:55:40
9378889  May 20, 2006 20:57:53
9378893  May 20, 2006 20:58:01
9435386  May 22, 2006 09:06:09
9435390  May 22, 2006 09:06:20
9464130  May 23, 2006 10:36:46
9464131  May 23, 2006 10:37:06
9718116  May 30, 2006 12:56:28
9718122  May 30, 2006 12:56:43
9712041  June 4, 2006 12:08:14
9712063  June 4, 2006 12:09:00
9712066  June 4, 2006 12:09:15
9713445  June 4, 2006 12:42:39
9775567  June 5, 2006 23:24:47
9775574  June 5, 2006 23:25:10
9769626  June 8, 2006 20:18:37
9769627  June 8, 2006 20:18:57
9790019  June 9, 2006 13:56:00
9814875  June 10, 2006 10:58:49
9853633  June 11, 2006 22:03:00
9853773  June 11, 2006 22:06:12
9897502  June 13, 2006 12:25:23
9897504  June 13, 2006 12:25:30
9897505  June 13, 2006 12:25:37
9897509  June 13, 2006 12:25:43
9897519  June 13, 2006 12:26:02
9904231  June 13, 2006 23:12:50
9915338  June 14, 2006 13:17:39
9934060  June 14, 2006 22:49:27
9934064  June 14, 2006 22:49:37
9934649  June 14, 2006 23:02:04
10003618  June 16, 2006 16:33:57
10030434  June 17, 2006 23:19:30
10030442  June 17, 2006 23:19:43
10071494  June 19, 2006 16:26:27
10078814  June 19, 2006 19:42:35
10078823  June 19, 2006 19:42:41
10114556  June 20, 2006 15:32:02
10114566  June 20, 2006 15:32:31
10114577  June 20, 2006 15:32:49
10137381  June 21, 2006 10:40:34
10202545  June 22, 2006 23:05:02
10202551  June 22, 2006 23:05:07
10202570  June 22, 2006 23:05:24
10226896  June 23, 2006 17:58:41
10226900  June 23, 2006 17:58:47
10268207  June 24, 2006 21:21:40
10268208  June 24, 2006 21:22:08
10285238  June 25, 2006 12:25:25
10285242  June 25, 2006 12:25:46
10351107  June 26, 2006 23:20:37
10351130  June 26, 2006 23:20:53
10392217  June 27, 2006 20:55:20
10392226  June 27, 2006 20:55:27
10403740  June 28, 2006 10:58:03
10403741  June 28, 2006 10:58:08
10403743  June 28, 2006 10:58:17
10439957  June 29, 2006 09:39:49
10439965  June 29, 2006 09:39:59
10466220  June 29, 2006 20:58:07
10466227  June 29, 2006 20:58:16
10666290  July 6, 2006 22:45:18
10666303  July 6, 2006 22:45:30
10688274  July 7, 2006 15:42:03
10697574  July 8, 2006 00:21:16
10697875  July 8, 2006 00:30:11
10697843  July 8, 2006 00:30:19
10710922  July 8, 2006 13:08:31
10741027  July 9, 2006 13:12:23
10794608  July 10, 2006 19:37:07
10794615  July 10, 2006 19:37:32
10870654  July 12, 2006 22:26:25
10870673  July 12, 2006 22:26:34
10870697  July 12, 2006 22:26:51
10870726  July 12, 2006 22:27:10
10870734  July 12, 2006 22:27:16
10870747  July 12, 2006 22:27:29
10880428  July 13, 2006 09:30:41
10913024  July 13, 2006 23:27:37
10913026  July 13, 2006 23:27:53
10913027  July 13, 2006 23:28:00
10913042  July 13, 2006 23:29:20
10925202  July 14, 2006 11:37:46
10925203  July 14, 2006 11:37:55
10925205  July 14, 2006 11:38:05
10934810  July 14, 2006 16:23:07
10989059  July 16, 2006 17:08:13
10989065  July 16, 2006 17:08:21
10989068  July 16, 2006 17:08:31
11030546  July 17, 2006 17:03:19
11053905  July 18, 2006 12:27:21
11091679  July 19, 2006 22:01:08
11091683  July 19, 2006 22:01:16
11108595  July 20, 2006 15:25:08
11929474  August 7, 2006 18:20:29
11929481  August 7, 2006 18:20:51
11929488  August 7, 2006 18:21:02
11993537  August 8, 2006 22:10:29
11993544  August 8, 2006 22:10:42
12015378  August 9, 2006 13:48:36
12015381  August 9, 2006 13:48:43
12076017  August 10, 2006 23:16:33
12093491  August 11, 2006 15:45:29
12115821  August 11, 2006 23:18:15
12115829  August 11, 2006 23:18:24
12149031  August 12, 2006 21:59:00
12149040  August 12, 2006 21:59:08
12233371  August 14, 2006 20:47:27
12262852  August 15, 2006 14:10:07
12346723  August 17, 2006 09:58:32
12528521  August 21, 2006 12:05:24
12528607  August 21, 2006 12:10:21
12666276  August 23, 2006 18:58:31
12666282  August 23, 2006 18:58:36
12666300  August 23, 2006 18:58:43
12792475  August 25, 2006 21:01:36
12792487  August 25, 2006 21:01:43
12935064  August 28, 2006 12:50:02
12965077  August 28, 2006 20:55:06
12965094  August 28, 2006 20:55:20
13056876  August 29, 2006 22:51:49
13056885  August 29, 2006 22:51:53
13084290  August 30, 2006 13:19:18
13084293  August 30, 2006 13:19:21
13104620  August 30, 2006 18:51:25
13104637  August 30, 2006 18:51:33
13143058  August 31, 2006 09:46:26
13143059  August 31, 2006 09:46:43
13177915  August 31, 2006 20:35:20
13177920  August 31, 2006 20:35:24
13177926  August 31, 2006 20:35:31
13425624  September 3, 2006 17:59:49
13425638  September 3, 2006 17:59:58
13496690  September 4, 2006 14:19:13
13496710  September 4, 2006 14:19:19
13656997  September 6, 2006 16:46:28
13731286  September 7, 2006 22:21:20
13758217  September 8, 2006 13:26:19
13758228  September 8, 2006 13:26:26
13786371  September 8, 2006 21:55:11
13786376  September 8, 2006 21:55:17
13900791  September 11, 2006 01:46:45
13900820  September 11, 2006 01:47:11
13947702  September 11, 2006 21:42:31
13947718  September 11, 2006 21:42:39
14031903  September 13, 2006 18:17:43
14031933  September 13, 2006 18:18:30
14032143  September 13, 2006 18:27:11
14229748  September 16, 2006 22:58:53
14229761  September 16, 2006 22:59:00
14817590  September 26, 2006 13:58:44
14972403  September 28, 2006 22:29:15
14972410  September 28, 2006 22:29:22
15180489  October 2, 2006 00:14:37
15193687  October 2, 2006 09:33:31
15193693  October 2, 2006 09:33:37
15221582  October 2, 2006 18:40:35
15260395  October 3, 2006 12:23:25
15381758  October 4, 2006 22:26:20
15561924  October 6, 2006 22:05:59
15561933  October 6, 2006 22:06:04
15561948  October 6, 2006 22:06:15
15583971  October 7, 2006 01:20:21
16730069  October 23, 2006 20:58:32
16730091  October 23, 2006 20:58:52
17064629  October 28, 2006 22:01:03
17112402  October 29, 2006 17:43:36
17184962  October 30, 2006 17:32:14
17329106  November 1, 2006 21:34:48
17346053  November 2, 2006 00:47:05
18749548  November 19, 2006 17:24:33
18749579  November 19, 2006 17:24:42
18749642  November 19, 2006 17:25:01
19765863  November 26, 2006 21:43:03
19914292  November 27, 2006 22:23:49
19991190  November 28, 2006 13:43:45
20180090  November 29, 2006 21:58:56
21806083  December 15, 2006 15:13:19
22537119  December 24, 2006 18:37:21
22707985  December 27, 2006 00:58:16
22708000  December 27, 2006 00:58:29
23098229  January 2, 2007 17:17:28
23271276  January 4, 2007 18:26:43
23271297  January 4, 2007 18:26:52
23315917  January 5, 2007 10:31:41
23618692  January 8, 2007 12:41:27
23618694  January 8, 2007 12:41:31
27719300  February 27, 2007 13:48:56
27721891  February 27, 2007 14:45:42
27854979  March 1, 2007 16:36:05
27854998  March 1, 2007 16:36:14
27915789  March 2, 2007 12:15:37
28221869  March 6, 2007 16:21:09
28221880  March 6, 2007 16:21:16
28420157  March 9, 2007 17:11:47
28420161  March 9, 2007 17:11:55
28926839  March 16, 2007 18:08:20
28926850  March 16, 2007 18:08:29
28928519  March 16, 2007 18:25:27
29414426  March 23, 2007 17:34:08
29622537  March 26, 2007 14:38:56
29622545  March 26, 2007 14:39:02
31886789  April 30, 2007 16:16:36
32002051  May 2, 2007 11:12:27
32002078  May 2, 2007 11:12:37
32003090  May 2, 2007 11:23:05
32012593  May 2, 2007 15:03:56
33883783  May 31, 2007 22:30:02
33883881  May 31, 2007 22:32:01
33898610  June 1, 2007 01:59:20
33898614  June 1, 2007 01:59:25
33909562  June 1, 2007 09:02:36
34316337  June 6, 2007 07:38:52
34316344  June 6, 2007 07:39:00
34696690  June 11, 2007 08:33:13
35593994  June 23, 2007 09:10:18
35593998  June 23, 2007 09:10:29
36026066  June 28, 2007 22:19:31
36052013  June 29, 2007 09:42:03
36052022  June 29, 2007 09:42:12
36251057  July 1, 2007 21:45:48
36251085  July 1, 2007 21:46:07
36392698  July 3, 2007 19:14:51
36392702  July 3, 2007 19:14:55
36392708  July 3, 2007 19:15:03
36484114  July 4, 2007 21:56:37
36875773  July 11, 2007 16:49:22
37012831  July 13, 2007 10:17:33
37630806  July 23, 2007 14:47:47
37737222  July 25, 2007 11:34:23
38109147  August 1, 2007 11:50:20
38943947  August 15, 2007 15:08:46
39401205  August 23, 2007 18:39:59
39401277  August 23, 2007 18:41:11
39450461  August 24, 2007 08:47:44
41163168  September 12, 2007 16:04:01
41291811  September 14, 2007 16:42:48
41674512  September 20, 2007 21:50:52
41883356  September 24, 2007 12:15:19
42354261  October 1, 2007 23:17:17
42851822  October 15, 2007 17:57:11
43749677  November 7, 2007 12:27:40
43782066  November 8, 2007 11:24:30
43981747  November 19, 2007 16:31:24
44958799  December 14, 2007 15:12:25
46088066  January 13, 2008 19:34:34
46088071  January 13, 2008 19:34:40
20211934  January 17, 2008 17:47:24
20211934  January 17, 2008 18:09:45
20211934  January 17, 2008 18:12:20
20211934  January 17, 2008 18:16:12
22582442  January 18, 2008 01:06:20
22582442  January 18, 2008 01:06:44
22582442  January 18, 2008 01:08:52
22582442  January 18, 2008 01:09:02
22582442  January 18, 2008 01:11:17
20211846  January 31, 2008 16:14:55
22582810  March 24, 2008 17:39:23
20213411  April 3, 2008 18:03:33
20213371  September 22, 2008 18:28:52
20213382  October 6, 2008 17:44:19
20214220  June 23, 2010 16:34:14
20214220  June 23, 2010 16:50:59
20214431  August 25, 2010 15:21:32
20214431  August 25, 2010 15:28:08
20214431  August 25, 2010 15:28:44
20214431  August 25, 2010 16:23:50
20214168  August 25, 2010 18:35:39
20214169  August 25, 2010 19:42:15
116563509  September 22, 2010 17:15:15
117946947  October 15, 2010 13:14:53
117947116  October 15, 2010 13:24:24
122779631  January 2, 2011 12:17:01
123019204  January 5, 2011 09:30:34
123039382  January 5, 2011 16:05:02
129614008  April 19, 2011 22:30:52
132190039  June 3, 2011 22:43:16
133328728  June 20, 2011 16:47:53
133328779  June 20, 2011 16:48:44
139268341  September 20, 2011 09:35:11
139280201  September 20, 2011 14:36:43
140714303  October 12, 2011 11:48:11
140714312  October 12, 2011 11:48:12
140762555  October 13, 2011 11:41:31
142064691  October 31, 2011 15:30:33
142669296  November 14, 2011 22:19:39
143168134  November 24, 2011 09:29:11
143168145  November 24, 2011 09:29:12
147222813  January 18, 2012 13:12:04
147225260  January 18, 2012 14:07:48
147532551  January 24, 2012 12:38:20
147598159  January 25, 2012 16:21:16
147702646  January 27, 2012 10:17:06
147702661  January 27, 2012 10:17:06
148255656  February 6, 2012 09:24:55
151416681  May 3, 2012 18:04:58
151567185  May 16, 2012 00:54:51
152051644  May 28, 2012 16:48:29
